"Name","TID","InfoTID","BuildingClass","SWF","ExportName","ExportNameNpc","ExportNameConstruction","BuildTimeD","BuildTimeH","BuildTimeM","BuildResource","BuildCost","TownHallLevel","Width","Height","Icon","ExportNameBuildAnim","MaxStoredGold","MaxStoredElixir","Bunker","HousingSpace","ProducesResource","ResourcePerHour","ResourceMax","UnitProduction","UpgradesUnits","Hitpoints","RegenTime","AttackRange","AttackSpeed","Damage","DestroyEffect","AttackEffect","HitEffect","Projectile","ExportNameDamaged","BuildingW","BuildingH","ExportNameBase","ExportNameBaseNpc","AirTargets","GroundTargets","MinAttackRange","DamageRadius","PushBack","PickUpEffect","PlacingEffect","CanNotSellLast","DefenderCharacter","DefenderCount","DefenderZ","DestructionXP","Locked","Hidden","TriggerRadius","ExportNameTriggered","AppearEffect","ForgesSpells"
,,,,,"town_hall_lvl4",,,1,0,0,,25000,,,,,,1000,1000,,,,,,,,1800,36,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
,,,,,"town_hall_lvl5",,,2,0,0,,150000,,,,,,1000,1000,,,,,,,,1900,38,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
,,,,,"town_hall_lvl6",,,4,0,0,,750000,,,,,,1000,1000,,,,,,,,2000,40,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,
,,,,,"town_hall_lvl7",,,6,0,0,,1200000,,,,,,1000,1000,,,,,,,,2200,42,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,
,,,,,"town_hall_lvl8",,,8,0,0,,1500000,,,,,,1000,1000,,,,,,,,2500,44,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,
"Elixir Pump","TID_BUILDING_ELIXIR_PUMP","TID_ELIXIR_PUMP_INFO","Resource","sc/buildings.sc","elixir_pump_lvl1",,"elixir_pump_const",,,1,"Gold",150,1,3,3,,"elixir_pump_upg",,,,,"Elixir",200,500,,,400,30,,,,"Building Destroyed",,,,"elixir_destructed_state2",2,2,"elixir_pump_base","npc_elixir_pump_base",,,,,,"Elixir Pump Pickup","Elixir Pump Placing","true",,,,,,,,,,
,,,,,"elixir_pump_lvl2",,,,,5,,300,1,,,,,,,,,,400,1000,,,450,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"elixir_pump_lvl3",,,,,15,,700,2,,,,,,,,,,600,1500,,,500,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"elixir_pump_lvl4",,,,1,0,,1400,2,,,,,,,,,,800,2500,,,550,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"elixir_pump_lvl5",,,,4,0,,3500,3,,,,,,,,,,1000,10000,,,590,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"elixir_pump_lvl6",,,,12,0,,7000,3,,,,,,,,,,1300,20000,,,610,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"elixir_pump_lvl7",,,1,0,0,,14000,4,,,,,,,,,,1600,30000,,,630,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"elixir_pump_lvl8",,,2,0,0,,28000,4,,,,,,,,,,1900,50000,,,660,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"elixir_pump_lvl9",,,3,0,0,,56000,5,,,,,,,,,,2200,75000,,,680,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"elixir_pump_lvl10",,,4,0,0,,84000,5,,,,,,,,,,2500,100000,,,710,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elixir Storage","TID_BUILDING_ELIXIR_STORAGE","TID_ELIXIR_STORAGE_INFO","Resource","sc/buildings.sc","elixir_storage_level1",,"elixir_storage_const",,,15,"Gold",300,1,3,3,,"elixir_storage_upg",,1500,,,,,,,,400,30,,,,"Elixir Storage Destroyed",,,,"elixir_destructed_state3",2,2,"elixir_storage_base","npc_elixir_storage_base",,,,,,"Elixir Storage Pickup","Elixir Storage Placing",,,,,,,,,,,
,,,,,"elixir_storage_level2",,,,,30,,750,2,,,,,,3000,,,,,,,,600,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"elixir_storage_level3",,,,1,0,,1500,2,,,,,,6000,,,,,,,,800,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"elixir_storage_level4",,,,2,0,,3000,3,,,,,,12000,,,,,,,,1000,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"elixir_storage_level5",,,,3,0,,6000,3,,,,,,25000,,,,,,,,1200,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"elixir_storage_level6",,,,4,0,,12000,3,,,,,,50000,,,,,,,,1500,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"elixir_storage_level7",,,,6,0,,25000,4,,,,,,100000,,,,,,,,1650,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"elixir_storage_level8",,,,8,0,,50000,4,,,,,,250000,,,,,,,,1740,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"elixir_storage_level9",,,,12,0,,100000,5,,,,,,500000,,,,,,,,1820,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"elixir_storage_level10",,,,24,0,,250000,6,,,,,,1000000,,,,,,,,1920,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gold Mine","TID_BUILDING_GOLD_MINE","TID_GOLD_MINE_INFO","Resource","sc/buildings.sc","goldmine_lvl1",,"goldmine_const",,,1,"Elixir",150,1,3,3,,"goldmine_upg",,,,,"Gold",200,500,,,400,30,,,,"Building Destroyed",,,,"wood_destructed_state2",2,2,"goldmine_base","npc_goldmine_base",,,,,,"Gold Mine Pickup","Gold Mine Placing","true",,,,,,,,,,
,,,,,"goldmine_lvl2",,,,,5,,300,1,,,,,,,,,,400,1000,,,450,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"goldmine_lvl3",,,,,15,,700,2,,,,,,,,,,600,1500,,,500,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"goldmine_lvl4",,,,1,0,,1400,2,,,,,,,,,,800,2500,,,550,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"goldmine_lvl5",,,,4,0,,3000,3,,,,,,,,,,1000,10000,,,590,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"goldmine_lvl6",,,,12,0,,7000,3,,,,,,,,,,1300,20000,,,610,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"goldmine_lvl7",,,1,0,0,,14000,4,,,,,,,,,,1600,30000,,,630,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"goldmine_lvl8",,,2,0,0,,28000,4,,,,,,,,,,1900,50000,,,660,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"goldmine_lvl9",,,3,0,0,,56000,5,,,,,,,,,,2200,75000,,,680,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"goldmine_lvl10",,,4,0,0,,84000,5,,,,,,,,,,2500,100000,,,710,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gold Storage","TID_BUILDING_GOLD_STORAGE","TID_GOLD_STORAGE_INFO","Resource","sc/buildings.sc","gold_storage_lvl1",,"gold_storage_const",,,15,"Elixir",300,1,3,3,,"gold_storage_upg",1500,,,,,,,,,400,30,,,,"Building Destroyed",,,,"large_destructed_state2",2,2,"gold_storage_base","npc_gold_storage_base",,,,,,"Gold Storage Pickup","Gold Storage Placing",,,,,,,,,,,
,,,,,"gold_storage_lvl2",,,,,30,,750,2,,,,,3000,,,,,,,,,600,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"gold_storage_lvl3",,,,1,0,,1500,2,,,,,6000,,,,,,,,,800,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"gold_storage_lvl4",,,,2,0,,3000,3,,,,,12000,,,,,,,,,1000,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"gold_storage_lvl5",,,,3,0,,6000,3,,,,,25000,,,,,,,,,1200,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"gold_storage_lvl6",,,,4,0,,12000,3,,,,,50000,,,,,,,,,1500,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"gold_storage_lvl7",,,,6,0,,25000,4,,,,,100000,,,,,,,,,1650,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"gold_storage_lvl8",,,,8,0,,50000,4,,,,,250000,,,,,,,,,1740,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"gold_storage_lvl9",,,,12,0,,100000,5,,,,,500000,,,,,,,,,1820,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"gold_storage_lvl10",,,,24,0,,250000,6,,,,,1000000,,,,,,,,,1920,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barrack","TID_BUILDING_BARRACK","TID_BARRACK_INFO","Army","sc/buildings.sc","barracks_lvl1",,"barracks_const",,,1,"Elixir",200,1,3,3,,"barracks_upg",,,,,,,,20,,250,30,,,,"Building Destroyed",,,,"wood_destructed_state2",2,2,"barracks_base","npc_barracks_base",,,,,,"Training Barrack Pickup","Training Barrack Placing","true",,,,,,,,,,
,,,,,"barracks_lvl2",,,,,15,,1000,1,,,,,,,,,,,,25,,270,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"barracks_lvl3",,,,2,,,2500,1,,,,,,,,,,,,30,,280,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"barracks_lvl4",,,,4,0,,5000,2,,,,,,,,,,,,35,,290,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"barracks_lvl5",,,,10,0,,10000,3,,,,,,,,,,,,40,,310,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"barracks_lvl6",,,,16,0,,80000,4,,,,,,,,,,,,45,,320,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"barracks_lvl7",,,1,0,0,,240000,5,,,,,,,,,,,,50,,340,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"barracks_lvl8",,,2,0,0,,1000000,6,,,,,,,,,,,,55,,350,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"barracks_lvl9",,,4,0,0,,1500000,7,,,,,,,,,,,,60,,390,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"barracks_lvl10",,,6,0,0,,2000000,8,,,,,,,,,,,,75,,420,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laboratory","TID_BUILDING_LABORATORY","TID_LABORATORY_INFO","Army","sc/buildings.sc","laboratory_lvl1",,"laboratory_const",,,30,"Elixir",25000,3,4,4,,"laboratory_upg",,,,,,,,,"true",250,30,,,,"Building Destroyed",,,,"wood_destructed_state4",3,3,"laboratory_base","npc_laboratory_base",,,,,,"Training Barrack Pickup","Training Barrack Placing","true",,,,,,,,,,
,,,,,"laboratory_lvl2",,,,5,0,,50000,4,,,,,,,,,,,,,,270,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"laboratory_lvl3",,,,12,0,,90000,5,,,,,,,,,,,,,,280,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"laboratory_lvl4",,,1,0,0,,270000,6,,,,,,,,,,,,,,290,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"laboratory_lvl5",,,2,0,0,,540000,7,,,,,,,,,,,,,,310,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"laboratory_lvl6",,,4,0,0,,1080000,8,,,,,,,,,,,,,,320,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cannon","TID_BUILDING_CANNON","TID_BASIC_TURRET_INFO","Defense","sc/buildings.sc","basic_turret_lvl1",,"basic_turret_const",,,1,"Gold",250,1,3,3,,"basic_turret_upg",,,,,,,,,,400,30,900,800,9,"Building Destroyed","Cannon Attack","Generic Hit","Cannonball","gen_destructed_state2",2,2,"basic_cannon_base","npc_basic_cannon_base","false","true",,,,"Basic Turret Pickup","Basic Turret Placing","true",,,,,,,,,,
,,,,,"basic_turret_lvl2",,,,,15,,1000,1,,,,,,,,,,,,,,450,31,,,11,,"Cannon Attack",,"Cannonball2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,"basic_turret_lvl3",,,,,45,,4000,2,,,,,,,,,,,,,,500,32,,,15,,"Cannon Attack",,"Cannonball2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,"basic_turret_lvl4",,,,2,0,,16000,3,,,,,,,,,,,,,,550,33,,,19,,"Cannon Attack",,"Cannonball4",,,,,,,,,,,,,,,,,,,,,,,
,,,,,"basic_turret_lvl5",,,,6,0,,64000,4,,,,,,,,,,,,,,590,34,,,25,,"Cannon Attack Large",,"Cannonball4",,,,,,,,,,,,,,,,,,,,,,,
,,,,,"basic_turret_lvl6",,,,12,0,,150000,5,,,,,,,,,,,,,,610,35,,,31,,"Cannon Attack Large",,"Cannonball5",,,,,,,,,,,,,,,,,,,,,,,
,,,,,"basic_turret_lvl7",,,1,0,0,,300000,6,,,,,,,,,,,,,,630,36,,,40,,"Cannon Attack Large",,"Cannonball5",,,,,,,,,,,,,,,,,,,,,,,
,,,,,"basic_turret_lvl8",,,2,0,0,,600000,7,,,,,,,,,,,,,,660,37,,,48,,"Cannon Attack Large",,"Cannonball7",,,,,,,,,,,,,,,,,,,,,,,
,,,,,"basic_turret_lvl9",,,3,,0,,1200000,8,,,,,,,,,,,,,,690,38,,,56,,"Cannon Attack Large",,"Cannonball7",,,,,,,,,,,,,,,,,,,,,,,
,,,,,"basic_turret_lvl10",,,5,,0,,2400000,8,,,,,,,,,,,,,,710,39,,,65,,"Cannon Attack Large",,"Cannonball10",,,,,,,,,,,,,,,,,,,,,,,
"Archer Tower","TID_BUILDING_ARCHER_TOWER","TID_ARCHER_TOWER_INFO","Defense","sc/buildings.sc","tower_turret_lvl1",,"tower_turret_const",,,15,"Gold",1000,2,3,3,,"tower_turret_upg",,,,,,,,,,400,30,1000,1000,11,"Building Destroyed","Archer Attack","Generic Hit","Tower Arrow","wood_destructed_state2",2,2,"defense_tower_turret_base","npc_defense_tower_turret_base","true","true",,,,"Tower Turret Pickup","Tower Turret Placing",,"Archer",1,180,,,,,,,
,,,,,"tower_turret_lvl2",,,,,30,,2000,2,,,,,,,,,,,,,,450,31,,,15,,,"Generic Hit","Tower Arrow",,,,,,,,,,,,,,"Archer",2,,,,,,,,
,,,,,"tower_turret_lvl3",,,,,45,,5000,3,,,,,,,,,,,,,,500,32,,,19,,,"Generic Hit","Tower Arrow",,,,,,,,,,,,,,"Archer",3,,,,,,,,
,,,,,"tower_turret_lvl4",,,,4,0,,20000,4,,,,,,,,,,,,,,550,33,,,25,,,"Generic Hit","Tower Arrow Fire",,,,,,,,,,,,,,"Archer2",1,,,,,,,,
,,,,,"tower_turret_lvl5",,,,12,0,,80000,5,,,,,,,,,,,,,,590,34,,,30,,,"Generic Hit","Tower Arrow Fire",,,,,,,,,,,,,,"Archer2",2,,,,,,,,
,,,,,"tower_turret_lvl6",,,1,0,0,,180000,5,,,,,,,,,,,,,,610,35,,,35,,,"Generic Hit","Tower Arrow Fire",,,,,,,,,,,,,,"Archer2",3,,,,,,,,
,,,,,"tower_turret_lvl7",,,3,0,0,,360000,6,,,,,,,,,,,,,,630,36,,,42,,,"Generic Hit","Tower Arrow ElixFire",,,,,,,,,,,,,,"Archer3",1,,,,,,,,
,,,,,"tower_turret_lvl8",,,4,0,0,,720000,7,,,,,,,,,,,,,,660,37,,,48,,,"Generic Hit","Tower Arrow ElixFire",,,,,,,,,,,,,,"Archer3",2,,,,,,,,
,,,,,"tower_turret_lvl9",,,5,0,0,,1500000,8,,,,,,,,,,,,,,690,38,,,56,,,"Generic Hit","Tower Arrow ElixFire",,,,,,,,,,,,,,"Archer3",3,,,,,,,,
,,,,,"tower_turret_lvl10",,,6,0,0,,2500000,8,,,,,,,,,,,,,,710,39,,,65,,,"Explosive Arrow","Tower Arrow ElixFire",,,,,,,,,,,,,,"Archer3",1,,,,,,,,
"Wall","TID_BUILDING_WALL","TID_WALL_INFO","Wall","sc/buildings.sc","defense_wall_lvl1",,"dummy_particle",,,0,"Gold",200,2,1,1,,"dummy_particle",,,,,,,,,,300,30,,,,"Building Destroyed",,,,"wall_destructed_state1",,,,,,,,,,"Weak Wall Pickup","Weak Wall Placing",,,,,,,,,,,
,,,,,"defense_wall_lvl2",,,,,0,,1000,2,1,1,,,,,,,,,,,,500,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"defense_wall_lvl3",,,,,0,,5000,3,1,1,,,,,,,,,,,,700,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"defense_wall_lvl4",,,,,0,,10000,4,,,,,,,,,,,,,,900,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"defense_wall_lvl5",,,,,0,,30000,5,,,,,,,,,,,,,,1400,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"defense_wall_lvl6",,,,,0,,75000,6,,,,,,,,,,,,,,2000,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"defense_wall_lvl7",,,,,0,,200000,7,,,,,,,,,,,,,,2500,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"defense_wall_lvl8",,,,,0,,500000,8,,,,,,,,,,,,,,3000,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wizard Tower","TID_BUILDING_WIZARD_TOWER","TID_WIZARD_TOWER_INFO","Defense","sc/buildings.sc","wizard_tower_lvl1",,"wizard_tower_const",,12,0,"Gold",180000,5,3,3,,"wizard_tower_upg",,,,,,,,,,620,30,700,1300,11,"Building Destroyed","Wizard Tower attack","Wizard Tower hit","Wizard Blast","stone_destructed_state3",2,2,"wizard_tower_base","npc_wizard_tower_base","true","true",,100,,"Wizard Tower Pickup","Wizard Tower Placing",,"Wizard",1,170,,,,,,,
,,,,,"wizard_tower_lvl4",,,1,0,0,,360000,5,,,,,,,,,,,,,,660,32,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"wizard_tower_lvl7",,,2,0,0,,720000,6,,,,,,,,,,,,,,690,34,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"wizard_tower_lvl8",,,4,0,0,,1280000,7,,,,,,,,,,,,,,720,36,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"wizard_tower_lvl9",,,6,0,0,,1960000,8,,,,,,,,,,,,,,760,38,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"wizard_tower_lvl10",,,8,0,0,,2680000,8,,,,,,,,,,,,,,800,40,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Air Defense","TID_BUILDING_AIR_DEFENSE","TID_AIR_DEFENSE_INFO","Defense","sc/buildings.sc","fireworks_tower_lvl1",,"fireworks_tower_const",,5,0,"Gold",22500,4,3,3,,"fireworks_tower_upg",,,,,,,,,,800,30,1000,1000,80,"Building Destroyed","Air Defence Attack","Air Defence hit1","Firework","wood_destructed_state2",2,2,"airdefence_tower_base","npc_airdefence_tower_base","true","false",,,,"Air Defence Pickup","Air Defence Placing",,,,,,,,,,,
,,,,,"fireworks_tower_lvl2",,,1,0,0,,90000,4,,,,,,,,,,,,,,860,32,,,110,,"Air Defence Attack","Air Defence hit1","Firework2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,"fireworks_tower_lvl3",,,3,0,0,,270000,5,,,,,,,,,,,,,,900,34,,,140,,"Air Defence Attack","Air Defence hit2","Firework3",,,,,,,,,,,,,,,,,,,,,,,
,,,,,"fireworks_tower_lvl4",,,5,0,0,,540000,6,,,,,,,,,,,,,,940,36,,,160,,"Air Defence Attack","Air Defence hit2","Firework4",,,,,,,,,,,,,,,,,,,,,,,
,,,,,"fireworks_tower_lvl5",,,7,0,0,,1080000,7,,,,,,,,,,,,,,990,38,,,190,,"Air Defence Attack","Air Defence hit3","Firework5",,,,,,,,,,,,,,,,,,,,,,,
,,,,,"fireworks_tower_lvl6",,,8,0,0,,2160000,8,,,,,,,,,,,,,,1040,40,,,230,,"Air Defence Attack","Air Defence hit3","Firework6",,,,,,,,,,,,,,,,,,,,,,,
"Mortar","TID_BUILDING_MORTAR","TID_MORTAR_INFO","Defense","sc/buildings.sc","mortar_lvl1",,"mortar_const",,8,0,"Gold",8000,3,3,3,,"mortar_upg",,,,,,,,,,400,30,1000,5000,4,"Building Destroyed","Mortar Attack","Mortar Hit","Mortar Ammo1","gen_destructed_state2",2,2,"mortar_base","npc_mortar_base","false","true",400,150,"true","Mortar Pickup","Mortar Placing",,,,,,,,,,,
,,,,,"mortar_lvl2",,,,12,0,,32000,4,,,,,,,,,,,,,,450,32,,,5,,"Mortar Attack","Mortar Hit","Mortar Ammo2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,"mortar_lvl3",,,1,0,0,,128000,5,,,,,,,,,,,,,,500,34,,,6,,"Mortar Attack","Mortar Hit","Mortar Ammo3",,,,,,,,,,,,,,,,,,,,,,,
,,,,,"mortar_lvl4",,,2,0,0,,512000,6,,,,,,,,,,,,,,550,36,,,7,,"Mortar Attack","Mortar Hit","Mortar Ammo4",,,,,,,,,,,,,,,,,,,,,,,
,,,,,"mortar_lvl5",,,4,0,0,,1024000,7,,,,,,,,,,,,,,590,38,,,8,,"Mortar Attack","Mortar Hit","Mortar Ammo5",,,,,,,,,,,,,,,,,,,,,,,
,,,,,"mortar_lvl6",,,6,0,0,,2048000,8,,,,,,,,,,,,,,610,40,,,9,,"Mortar Attack","Mortar Hit lvl6","Mortar Ammo6",,,,,,,,,,,,,,,,,,,,,,,
"Alliance Castle","TID_BUILDING_ALLIANCE_CASTLE","TID_ALLIANCE_CASTLE_INFO","Army","sc/buildings.sc","alliance_castle_lvl1",,"alliance_castle_const",,,,"Gold",40000,3,3,3,,"alliance_castle_upg",,,"true",10,,,,,,500,30,,,,"Building Destroyed",,,,"alliance_castle_lvl1_broken",2,2,"alliance_castle_base","npc_alliance_castle_base",,,,,,"Alliance Castle Pickup","Alliance Castle Placing","true",,,,,"true",,,,,
,,,,,"alliance_castle_lvl2",,,,6,0,,100000,4,,,,,,,,15,,,,,,520,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"alliance_castle_lvl3",,,1,0,0,,800000,6,,,,,,,,20,,,,,,550,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"alliance_castle_lvl4",,,2,0,0,,1800000,8,,,,,,,,25,,,,,,580,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Worker Building","TID_WORKER_BUILDING","TID_WORKER_INFO","Worker","sc/buildings.sc","worker_building",,"worker_building_const",,,0,"Diamonds",200,1,2,2,,"worker_building_upg",,,,,,,,,,250,30,,,,"Building Destroyed",,,,"wood_destructed_state1",1,1,"worker_building_base","npc_worker_building_base",,,,,,"Worker Building Pickup","Worker Building Placing","true",,,,,,,,,,
"Communications mast","TID_COMM_MAST","TID_COMM_MAST_INFO","Npc","sc/buildings.sc","comm_mast_lvl1",,"comm_mast_const",0,0,0,"Gold",1000,1,2,2,,"comm_mast_upg",,,,,,,,,,250,30,,,,"Building Destroyed",,,,"comm_mast_lvl1_broken",1,1,"comm_mast_base","npc_comm_mast_base",,,,,,,,"true",,,,,,,,,,
"Goblin main building","TID_GOBLIN_MAIN_BUILDING","TID_GOBLIN_MAIN_BUILDING_INFO","Npc","sc/buildings.sc","goblin_townhall_lvl1",,"generic_construction_state3",,,1,"Gold",0,,4,4,,"generic_upgrade_state3",1000,1000,,,,,,,,1250,30,,,,"Building Destroyed",,,,"town_hall_broken",3,3,"goblin_townhall_base",,,,,,,"Town Hall Pickup","Town Hall Placing","true",,,,1,,,,,,
"Goblin hut","TID_GOBLIN_HUT","TID_GOBLIN_HUT_INFO","Npc","sc/buildings.sc","goblin_hut_lvl1",,"generic_construction_state3",,,5,"Elixir",250,1,2,2,,"generic_upgrade_state2",,,,20,,,,,,250,30,,,,"Building Destroyed",,,,"wood_destructed_state2",2,2,"goblin_hut_base",,,,,,,"Troop Housing Pickup","Troop Housing Placing","true",,,,,,,,,,
